row_id,lat_deg,lon_deg,report_date,status_id,water_source,water_tech,facility_type,country_name,install_year,installer,pay,status
301657,-1.97374,30.13595,02/16/2016,y,Piped Water,Tapstand,Improved,Rwanda,2010.0,,,
301679,-1.970873333333333,30.10012166666667,02/24/2016,y,Piped Water,Tapstand,Improved,Rwanda,2008.0,,,
302428,-1.8053616666666659,29.939055,02/24/2016,u,Unprotected Spring,,Unimproved,Rwanda,,,,
302175,-1.6321666666666668,29.89408166666666,02/15/2016,y,,,,Rwanda,1990.0,,,
301530,-1.9850955843827,30.07786603085617,02/26/2016,n,Piped Water,Tapstand,Improved,Rwanda,2013.0,,,
301662,-1.9829367230373702,30.134659315628728,02/18/2016,n,Piped Water,Tapstand,Improved,Rwanda,2013.0,,,
302043,-1.68543,29.90363333333333,06/03/2013,y,Protected Spring,,Improved,Rwanda,1980.0,,,
301936,-1.9579666666666669,30.134561666666666,02/18/2016,n,Piped Water,Tapstand,Improved,Rwanda,2010.0,,,
301890,-1.9857599999999997,30.17932833333333,02/17/2016,n,Piped Water,Tapstand,Improved,Rwanda,2011.0,,,
301498,-1.9781966666666668,30.08636333333333,02/24/2016,n,Piped Water,Tapstand,Improved,Rwanda,2010.0,,,
301547,-1.9677099999999998,30.07742166666667,02/26/2016,n,,,,Rwanda,2012.0,,,
302075,-1.6892349999999998,29.885041666666666,02/23/2016,y,,,,Rwanda,2015.0,,,
302207,-1.6718885053000858,29.981001119281355,02/15/2016,y,Piped Water,Tapstand,Improved,Rwanda,2015.0,,,
302445,-1.8227966666666668,29.918116666666666,02/25/2016,y,,,,Rwanda,2015.0,,,
302520,-1.7316388451453213,29.96629943919116,02/29/2016,y,,,,Rwanda,2015.0,,,
302048,-1.675681666666666,29.897963333333333,06/03/2013,n,,,,Rwanda,1984.0,,,
301804,-1.9987983333333332,30.191073333333332,02/23/2016,y,Piped Water,Tapstand,Improved,Rwanda,2009.0,,,
302473,-1.8418983333333332,29.93175833333333,06/01/2013,y,,,,Rwanda,1999.0,,,
302505,-1.6850383333333332,29.96222333333333,02/23/2016,y,Protected Spring,,Improved,Rwanda,1990.0,,,
301451,-2.017021666666666,30.088386666666665,02/23/2016,n,Piped Water,Tapstand,Improved,Rwanda,2013.0,,,
302373,-1.807926666666666,30.124413333333337,02/24/2016,y,,,,Rwanda,1974.0,,,
301784,-1.989588323185427,30.227030336623173,02/19/2016,y,Piped Water,Tapstand,Improved,Rwanda,2013.0,,,
302467,-1.856955,29.911904999999997,02/26/2016,u,Unprotected Spring,,Unimproved,Rwanda,,,,
301535,-1.9733683333333332,30.07739166666667,02/26/2016,n,Piped Water,Tapstand,Improved,Rwanda,2009.0,,,
301794,-1.987043333333333,30.22181666666667,02/19/2016,n,Piped Water,Tapstand,Improved,Rwanda,2012.0,,,
301900,-1.9725766666666669,30.17237,02/17/2016,y,Piped Water,Tapstand,Improved,Rwanda,2008.0,,,
302011,-1.7324233333333332,30.01523166666667,02/24/2016,n,,,,Rwanda,2012.0,,,
302124,-1.713464983846594,29.9778851577228,02/24/2016,y,,,,Rwanda,2010.0,,,
302460,-1.891483333,29.95731666,02/26/2016,y,Protected Spring,,Improved,Rwanda,2004.0,,,
301647,-1.994013333333334,30.15324833333333,02/15/2016,n,Piped Water,Tapstand,Improved,Rwanda,2014.0,,,
301694,-1.9723533333333332,30.10347,02/25/2016,y,Piped Water,Tapstand,Improved,Rwanda,2001.0,,,
301960,-1.6614849999999999,29.8911,02/26/2016,y,Protected Spring,,Improved,Rwanda,1982.0,,,
301631,-1.9724833333333331,30.11371833333333,02/29/2016,y,Protected Spring,,Improved,Rwanda,2002.0,,,
301483,-1.9802738856922582,30.09244751436239,02/24/2016,n,Piped Water,Tapstand,Improved,Rwanda,2010.0,,,
301828,-1.98013,30.112904999999998,02/18/2016,n,Piped Water,Tapstand,Improved,Rwanda,2010.0,,,
301562,-1.995436666666667,30.1169,02/26/2016,n,Piped Water,Tapstand,Improved,Rwanda,2012.0,,,
302080,-1.6661700000000002,29.88543333333333,02/29/2016,y,,,,Rwanda,1999.0,,,
301758,-1.964245,30.07330833333333,06/01/2013,y,Piped Water,Kiosk,Improved,Rwanda,1993.0,,,
301515,-1.984376666666667,30.09698,02/25/2016,y,Piped Water,Tapstand,Improved,Rwanda,2013.0,,,
301779,-1.990163333333333,30.20334166666667,02/23/2016,n,Piped Water,Tapstand,Improved,Rwanda,2007.0,,,
301689,-1.966613333333334,30.09504,02/24/2016,n,Piped Water,Tapstand,Improved,Rwanda,2003.0,,,
302256,-1.66872,30.04096,02/23/2016,y,,,,Rwanda,2015.0,,,
302092,-1.710373333333333,30.00581833333333,02/25/2016,u,Unprotected Spring,,Unimproved,Rwanda,,,,
302317,-1.7938383333333332,29.97187333333333,02/18/2016,u,Unprotected Shallow Well,,Unimproved,Rwanda,,,,
301992,-1.752751666666667,30.04761,02/25/2016,y,Protected Spring,,Improved,Rwanda,2004.0,,,
301860,-1.9627716666666668,30.10176333333333,02/17/2016,y,Piped Water,Tapstand,Improved,Rwanda,1992.0,,,
301599,-1.978486666666667,30.14929166666667,02/16/2016,n,Piped Water,Tapstand,Improved,Rwanda,2010.0,,,
302307,-1.7610316666666668,29.97172333333333,03/11/2016,y,Protected Spring,,Improved,Rwanda,1998.0,,,
301911,-1.9644650000000001,30.15573333333333,02/17/2016,n,,,,Rwanda,2008.0,,,
302413,-1.653255,29.94283833333333,02/15/2016,u,Protected Spring,,Improved,Rwanda,,,,
301954,1.9899,30.102879700000003,02/16/2016,u,Unprotected Spring,,Unimproved,Rwanda,,,,
302239,-1.6430266666666669,30.064543333333337,02/19/2016,y,Protected Spring,,Improved,Rwanda,2015.0,,,
302488,-1.902923333333333,29.967465,02/26/2016,y,,,,Rwanda,1987.0,,,
301557,-1.9880566666666668,30.11555333333333,06/02/2013,y,Piped Water,Tapstand,Improved,Rwanda,2000.0,,,
302403,-1.64782,29.972783333333336,02/15/2016,u,Unprotected Spring,,Unimproved,Rwanda,,,,
302224,-1.666446666666666,29.985575,02/15/2016,y,Piped Water,Tapstand,Improved,Rwanda,2006.0,,,
301525,-1.9817966666666669,30.080895,02/26/2016,n,Piped Water,Tapstand,Improved,Rwanda,2013.0,,,
302356,-1.81292,30.00058333333333,03/11/2016,n,,,,Rwanda,2014.0,,,
302107,-1.709136666666667,30.051728333333333,02/26/2016,y,,,,Rwanda,2011.0,,,
